,main_folder,seed,sample,cif_path,chain_iptm,chain_pair_iptm,chain_pair_pae_min,chain_ptm,fraction_disordered,has_clash,iptm,ptm,ranking_score,pdb_path,pdockq,avg_ipae
12,salcis15,44,4,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-44_sample-4/model.cif,"[0.09, 0.09]","[[0.52, 0.09], [0.09, 0.66]]","[[0.76, 30.53], [30.65, 0.76]]","[0.52, 0.66]",0.06,0.0,0.09,0.38,0.17,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-44_sample-4/model.pdb,0.018258893561979524,30.59
13,salcis15,44,3,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-44_sample-3/model.cif,"[0.09, 0.09]","[[0.58, 0.09], [0.09, 0.66]]","[[0.76, 28.58], [27.74, 0.76]]","[0.58, 0.66]",0.06,0.0,0.09,0.43,0.19,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-44_sample-3/model.pdb,0.043695470482477766,28.159999999999997
14,salcis15,33,2,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-33_sample-2/model.cif,"[0.11, 0.11]","[[0.58, 0.11], [0.11, 0.66]]","[[0.76, 22.42], [22.42, 0.76]]","[0.58, 0.66]",0.06,0.0,0.11,0.43,0.2,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-33_sample-2/model.pdb,0.04910967808526537,22.42
15,salcis15,44,2,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-44_sample-2/model.cif,"[0.09, 0.09]","[[0.58, 0.09], [0.09, 0.65]]","[[0.76, 28.65], [26.73, 0.76]]","[0.58, 0.65]",0.04,0.0,0.09,0.43,0.18,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-44_sample-2/model.pdb,0.04666766352657861,27.689999999999998
16,salcis15,10,2,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-10_sample-2/model.cif,"[0.09, 0.09]","[[0.58, 0.09], [0.09, 0.66]]","[[0.76, 29.5], [30.31, 0.76]]","[0.58, 0.66]",0.05,0.0,0.09,0.43,0.18,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-10_sample-2/model.pdb,0.019678435887840906,29.905
17,salcis15,83,2,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-83_sample-2/model.cif,"[0.1, 0.1]","[[0.55, 0.1], [0.1, 0.64]]","[[0.76, 25.91], [24.35, 0.76]]","[0.55, 0.64]",0.05,0.0,0.1,0.41,0.18,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-83_sample-2/model.pdb,0.0406707607544434,25.130000000000003
18,salcis15,83,3,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-83_sample-3/model.cif,"[0.1, 0.1]","[[0.55, 0.1], [0.1, 0.65]]","[[0.76, 25.18], [23.12, 0.76]]","[0.55, 0.65]",0.05,0.0,0.1,0.41,0.19,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-83_sample-3/model.pdb,0.045801992038203794,24.15
19,salcis15,10,4,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-10_sample-4/model.cif,"[0.09, 0.09]","[[0.59, 0.09], [0.09, 0.66]]","[[0.76, 30.22], [30.29, 0.76]]","[0.59, 0.66]",0.06,0.0,0.09,0.43,0.19,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-10_sample-4/model.pdb,0.05513886480712191,30.255
20,salcis15,83,4,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-83_sample-4/model.cif,"[0.1, 0.1]","[[0.55, 0.1], [0.1, 0.64]]","[[0.76, 28.88], [27.8, 0.76]]","[0.55, 0.64]",0.05,0.0,0.1,0.41,0.18,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-83_sample-4/model.pdb,0.056001557359642934,28.34
21,salcis15,10,3,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-10_sample-3/model.cif,"[0.09, 0.09]","[[0.6, 0.09], [0.09, 0.67]]","[[0.76, 29.75], [30.32, 0.76]]","[0.6, 0.67]",0.06,0.0,0.09,0.44,0.19,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-10_sample-3/model.pdb,0.032046236238227825,30.035
22,salcis15,61,2,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-61_sample-2/model.cif,"[0.09, 0.09]","[[0.58, 0.09], [0.09, 0.66]]","[[0.76, 28.07], [29.39, 0.76]]","[0.58, 0.66]",0.05,0.0,0.09,0.43,0.18,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-61_sample-2/model.pdb,0.029771003836534818,28.73
23,salcis15,61,3,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-61_sample-3/model.cif,"[0.09, 0.09]","[[0.59, 0.09], [0.09, 0.66]]","[[0.76, 28.2], [29.64, 0.76]]","[0.59, 0.66]",0.04,0.0,0.09,0.44,0.18,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-61_sample-3/model.pdb,0.03372017301280973,28.92
24,salcis15,61,4,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-61_sample-4/model.cif,"[0.09, 0.09]","[[0.59, 0.09], [0.09, 0.65]]","[[0.76, 28.85], [29.76, 0.76]]","[0.59, 0.65]",0.05,0.0,0.09,0.43,0.18,./SalCIS15/output/SalCIS15_SalCIS13/salcis15/seed-61_sample-4/model.pdb,0.03962024829345043,29.305
25,salcis15,44,0,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-44_sample-0/model.cif,"[0.16, 0.16]","[[0.52, 0.16], [0.16, 0.38]]","[[0.76, 30.11], [30.52, 0.76]]","[0.52, 0.38]",0.04,0.0,0.16,0.34,0.21,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-44_sample-0/model.pdb,0.05448999817898277,30.314999999999998
26,salcis15,33,0,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-33_sample-0/model.cif,"[0.17, 0.17]","[[0.51, 0.17], [0.17, 0.38]]","[[0.76, 28.83], [29.03, 0.76]]","[0.51, 0.38]",0.03,0.0,0.17,0.35,0.22,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-33_sample-0/model.pdb,0.23066462870290913,28.93
27,salcis15,44,1,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-44_sample-1/model.cif,"[0.17, 0.17]","[[0.5, 0.17], [0.17, 0.38]]","[[0.76, 27.12], [27.7, 0.76]]","[0.5, 0.38]",0.02,0.0,0.17,0.35,0.22,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-44_sample-1/model.pdb,0.24845528153344473,27.41
28,salcis15,33,1,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-33_sample-1/model.cif,"[0.18, 0.18]","[[0.51, 0.18], [0.18, 0.38]]","[[0.76, 24.25], [24.43, 0.76]]","[0.51, 0.38]",0.01,0.0,0.18,0.35,0.22,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-33_sample-1/model.pdb,0.1685723620648693,24.34
29,salcis15,83,1,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-83_sample-1/model.cif,"[0.2, 0.2]","[[0.51, 0.2], [0.2, 0.38]]","[[0.76, 22.45], [21.9, 0.76]]","[0.51, 0.38]",0.02,0.0,0.2,0.35,0.24,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-83_sample-1/model.pdb,0.19085408112202779,22.174999999999997
30,salcis15,10,1,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-10_sample-1/model.cif,"[0.16, 0.16]","[[0.52, 0.16], [0.16, 0.39]]","[[0.76, 28.37], [29.17, 0.76]]","[0.52, 0.39]",0.02,0.0,0.16,0.35,0.21,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-10_sample-1/model.pdb,0.028824052149488792,28.770000000000003
31,salcis15,10,0,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-10_sample-0/model.cif,"[0.16, 0.16]","[[0.52, 0.16], [0.16, 0.39]]","[[0.76, 30.27], [30.4, 0.76]]","[0.52, 0.39]",0.04,0.0,0.16,0.35,0.22,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-10_sample-0/model.pdb,0.06469930535257869,30.335
32,salcis15,83,0,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-83_sample-0/model.cif,"[0.2, 0.2]","[[0.5, 0.2], [0.2, 0.38]]","[[0.76, 22.29], [21.91, 0.76]]","[0.5, 0.38]",0.02,0.0,0.2,0.35,0.24,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-83_sample-0/model.pdb,0.09417634427652467,22.1
33,salcis15,61,1,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-61_sample-1/model.cif,"[0.17, 0.17]","[[0.53, 0.17], [0.17, 0.38]]","[[0.76, 26.34], [26.47, 0.76]]","[0.53, 0.38]",0.03,0.0,0.17,0.35,0.22,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-61_sample-1/model.pdb,0.09828939320557417,26.405
34,salcis15,61,0,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-61_sample-0/model.cif,"[0.18, 0.18]","[[0.51, 0.18], [0.18, 0.38]]","[[0.76, 24.82], [26.09, 0.76]]","[0.51, 0.38]",0.02,0.0,0.18,0.35,0.22,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-61_sample-0/model.pdb,0.1515599313951687,25.455
35,salcis15,33,4,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-33_sample-4/model.cif,"[0.17, 0.17]","[[0.52, 0.17], [0.17, 0.39]]","[[0.76, 27.08], [27.81, 0.76]]","[0.52, 0.39]",0.03,0.0,0.17,0.35,0.22,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-33_sample-4/model.pdb,0.056677124068121296,27.445
36,salcis15,33,3,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-33_sample-3/model.cif,"[0.16, 0.16]","[[0.52, 0.16], [0.16, 0.38]]","[[0.76, 29.21], [29.07, 0.76]]","[0.52, 0.38]",0.03,0.0,0.16,0.35,0.21,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-33_sample-3/model.pdb,0.19781964240067892,29.14
37,salcis15,44,4,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-44_sample-4/model.cif,"[0.19, 0.19]","[[0.51, 0.19], [0.19, 0.39]]","[[0.76, 24.67], [25.15, 0.76]]","[0.51, 0.39]",0.03,0.0,0.19,0.35,0.24,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-44_sample-4/model.pdb,0.060112239785065455,24.91
38,salcis15,44,3,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-44_sample-3/model.cif,"[0.18, 0.18]","[[0.51, 0.18], [0.18, 0.38]]","[[0.76, 25.6], [25.57, 0.76]]","[0.51, 0.38]",0.02,0.0,0.18,0.35,0.23,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-44_sample-3/model.pdb,0.12292117795223244,25.585
39,salcis15,33,2,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-33_sample-2/model.cif,"[0.18, 0.18]","[[0.51, 0.18], [0.18, 0.38]]","[[0.76, 24.51], [25.0, 0.76]]","[0.51, 0.38]",0.02,0.0,0.18,0.35,0.23,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-33_sample-2/model.pdb,0.17763223385030674,24.755000000000003
40,salcis15,44,2,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-44_sample-2/model.cif,"[0.17, 0.17]","[[0.51, 0.17], [0.17, 0.38]]","[[0.76, 28.68], [28.82, 0.76]]","[0.51, 0.38]",0.03,0.0,0.17,0.35,0.22,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-44_sample-2/model.pdb,0.26897336987440906,28.75
41,salcis15,10,2,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-10_sample-2/model.cif,"[0.16, 0.16]","[[0.52, 0.16], [0.16, 0.39]]","[[0.76, 29.29], [29.42, 0.76]]","[0.52, 0.39]",0.04,0.0,0.16,0.35,0.22,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-10_sample-2/model.pdb,0.38667386839672063,29.355
42,salcis15,83,2,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-83_sample-2/model.cif,"[0.2, 0.2]","[[0.52, 0.2], [0.2, 0.38]]","[[0.76, 21.94], [21.79, 0.76]]","[0.52, 0.38]",0.02,0.0,0.2,0.35,0.24,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-83_sample-2/model.pdb,0.0561910105119566,21.865000000000002
43,salcis15,83,3,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-83_sample-3/model.cif,"[0.2, 0.2]","[[0.5, 0.2], [0.2, 0.38]]","[[0.76, 22.15], [21.97, 0.76]]","[0.5, 0.38]",0.02,0.0,0.2,0.35,0.25,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-83_sample-3/model.pdb,0.12490115425490404,22.06
44,salcis15,10,4,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-10_sample-4/model.cif,"[0.16, 0.16]","[[0.52, 0.16], [0.16, 0.39]]","[[0.76, 27.97], [28.69, 0.76]]","[0.52, 0.39]",0.04,0.0,0.16,0.35,0.22,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-10_sample-4/model.pdb,0.02839426869894955,28.33
45,salcis15,83,4,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-83_sample-4/model.cif,"[0.17, 0.17]","[[0.51, 0.17], [0.17, 0.38]]","[[0.76, 26.33], [27.56, 0.76]]","[0.51, 0.38]",0.02,0.0,0.17,0.34,0.21,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-83_sample-4/model.pdb,0.16400384387660813,26.945
46,salcis15,10,3,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-10_sample-3/model.cif,"[0.17, 0.17]","[[0.5, 0.17], [0.17, 0.38]]","[[0.76, 25.52], [27.5, 0.76]]","[0.5, 0.38]",0.03,0.0,0.17,0.35,0.22,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-10_sample-3/model.pdb,0.12585557610305945,26.509999999999998
47,salcis15,61,2,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-61_sample-2/model.cif,"[0.17, 0.17]","[[0.52, 0.17], [0.17, 0.38]]","[[0.76, 27.22], [26.43, 0.76]]","[0.52, 0.38]",0.03,0.0,0.17,0.35,0.22,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-61_sample-2/model.pdb,0.15308077537467013,26.825
48,salcis15,61,3,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-61_sample-3/model.cif,"[0.17, 0.17]","[[0.53, 0.17], [0.17, 0.37]]","[[0.76, 26.76], [27.41, 0.76]]","[0.53, 0.37]",0.03,0.0,0.17,0.34,0.22,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-61_sample-3/model.pdb,0.0699844719281608,27.085
49,salcis15,61,4,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-61_sample-4/model.cif,"[0.16, 0.16]","[[0.52, 0.16], [0.16, 0.38]]","[[0.76, 28.7], [29.23, 0.76]]","[0.52, 0.38]",0.02,0.0,0.16,0.34,0.21,./SalCIS15/output/SalCIS15_SalCIS14/salcis15/seed-61_sample-4/model.pdb,0.09691593731506759,28.965
50,salcis15,44,0,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-44_sample-0/model.cif,"[0.48, 0.48]","[[0.58, 0.48], [0.48, 0.59]]","[[0.76, 7.31], [7.36, 0.76]]","[0.58, 0.59]",0.01,0.0,0.48,0.53,0.49,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-44_sample-0/model.pdb,0.5526862793761327,7.335
51,salcis15,33,0,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-33_sample-0/model.cif,"[0.55, 0.55]","[[0.66, 0.55], [0.55, 0.64]]","[[0.76, 6.27], [5.53, 0.76]]","[0.66, 0.64]",0.02,0.0,0.55,0.61,0.57,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-33_sample-0/model.pdb,0.6153099434824014,5.9
52,salcis15,44,1,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-44_sample-1/model.cif,"[0.48, 0.48]","[[0.58, 0.48], [0.48, 0.59]]","[[0.76, 7.49], [7.3, 0.76]]","[0.58, 0.59]",0.02,0.0,0.48,0.53,0.5,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-44_sample-1/model.pdb,0.5621009733872793,7.395
53,salcis15,33,1,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-33_sample-1/model.cif,"[0.55, 0.55]","[[0.66, 0.55], [0.55, 0.65]]","[[0.76, 6.1], [5.48, 0.76]]","[0.66, 0.65]",0.02,0.0,0.55,0.62,0.57,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-33_sample-1/model.pdb,0.5978286563073283,5.79
54,salcis15,83,1,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-83_sample-1/model.cif,"[0.53, 0.53]","[[0.63, 0.53], [0.53, 0.66]]","[[0.76, 6.21], [6.67, 0.76]]","[0.63, 0.66]",0.02,0.0,0.53,0.6,0.55,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-83_sample-1/model.pdb,0.604094501436528,6.4399999999999995
55,salcis15,10,1,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-10_sample-1/model.cif,"[0.55, 0.55]","[[0.65, 0.55], [0.55, 0.66]]","[[0.76, 5.63], [6.32, 0.76]]","[0.65, 0.66]",0.02,0.0,0.55,0.62,0.57,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-10_sample-1/model.pdb,0.6001199916865356,5.975
56,salcis15,10,0,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-10_sample-0/model.cif,"[0.55, 0.55]","[[0.65, 0.55], [0.55, 0.66]]","[[0.76, 5.73], [6.13, 0.76]]","[0.65, 0.66]",0.02,0.0,0.55,0.61,0.57,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-10_sample-0/model.pdb,0.5995606996909318,5.93
57,salcis15,83,0,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-83_sample-0/model.cif,"[0.54, 0.54]","[[0.64, 0.54], [0.54, 0.65]]","[[0.76, 5.93], [6.68, 0.76]]","[0.64, 0.65]",0.02,0.0,0.54,0.6,0.56,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-83_sample-0/model.pdb,0.5893084722892817,6.305
58,salcis15,61,1,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-61_sample-1/model.cif,"[0.42, 0.42]","[[0.55, 0.42], [0.42, 0.56]]","[[0.76, 8.62], [8.54, 0.76]]","[0.55, 0.56]",0.02,0.0,0.42,0.49,0.45,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-61_sample-1/model.pdb,0.5558145697924287,8.579999999999998
59,salcis15,61,0,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-61_sample-0/model.cif,"[0.42, 0.42]","[[0.56, 0.42], [0.42, 0.55]]","[[0.76, 8.82], [8.94, 0.76]]","[0.56, 0.55]",0.01,0.0,0.42,0.48,0.44,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-61_sample-0/model.pdb,0.5717447498640278,8.879999999999999
60,salcis15,33,4,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-33_sample-4/model.cif,"[0.55, 0.55]","[[0.66, 0.55], [0.55, 0.65]]","[[0.76, 6.53], [6.0, 0.76]]","[0.66, 0.65]",0.02,0.0,0.55,0.61,0.57,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-33_sample-4/model.pdb,0.5875656231263422,6.265000000000001
61,salcis15,33,3,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-33_sample-3/model.cif,"[0.55, 0.55]","[[0.65, 0.55], [0.55, 0.65]]","[[0.76, 6.34], [5.68, 0.76]]","[0.65, 0.65]",0.02,0.0,0.55,0.62,0.57,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-33_sample-3/model.pdb,0.604322581871215,6.01
62,salcis15,44,4,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-44_sample-4/model.cif,"[0.46, 0.46]","[[0.58, 0.46], [0.46, 0.57]]","[[0.76, 7.14], [7.53, 0.76]]","[0.58, 0.57]",0.02,0.0,0.46,0.53,0.49,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-44_sample-4/model.pdb,0.5833275043836733,7.335
63,salcis15,44,3,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-44_sample-3/model.cif,"[0.48, 0.48]","[[0.59, 0.48], [0.48, 0.58]]","[[0.76, 6.95], [7.54, 0.76]]","[0.59, 0.58]",0.02,0.0,0.48,0.53,0.5,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-44_sample-3/model.pdb,0.5739981563699922,7.245
64,salcis15,33,2,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-33_sample-2/model.cif,"[0.55, 0.55]","[[0.66, 0.55], [0.55, 0.66]]","[[0.76, 6.24], [5.94, 0.76]]","[0.66, 0.66]",0.02,0.0,0.55,0.62,0.58,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-33_sample-2/model.pdb,0.6017910471109946,6.09
65,salcis15,44,2,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-44_sample-2/model.cif,"[0.47, 0.47]","[[0.57, 0.47], [0.47, 0.58]]","[[0.76, 7.44], [7.47, 0.76]]","[0.57, 0.58]",0.02,0.0,0.47,0.52,0.49,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-44_sample-2/model.pdb,0.5668625134736107,7.455
66,salcis15,10,2,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-10_sample-2/model.cif,"[0.54, 0.54]","[[0.65, 0.54], [0.54, 0.66]]","[[0.76, 5.62], [6.0, 0.76]]","[0.65, 0.66]",0.02,0.0,0.54,0.61,0.57,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-10_sample-2/model.pdb,0.6049662336448403,5.8100000000000005
67,salcis15,83,2,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-83_sample-2/model.cif,"[0.53, 0.53]","[[0.63, 0.53], [0.53, 0.66]]","[[0.76, 6.54], [6.91, 0.76]]","[0.63, 0.66]",0.02,0.0,0.53,0.6,0.55,./SalCIS15/output/SalCIS15_SalCIS15/salcis15/seed-83_sample-2/model.pdb,0.5886852671530338,6.725
